r0c0,r0c1,r0c2,r1c0,r1c1,r1c2,r2c0,r2c1,r2c2,shape
16.729783916239697,17.503392130257804,16.44018712408109,21.528720036182722,21.694214876033058,22.885572139303484,26.732011583871685,29.1044776119403,31.32100690576966,circle
17.531744263755847,17.752148349163274,16.685230563599912,22.682044323835367,22.63544536271809,23.518769787426503,27.021608376030297,30.14473089099955,32.85809757184228,circle
15.549120071285364,16.21438263229308,15.148139897527289,21.32519222071461,20.95959595959596,22.274988692899143,28.31365560258409,31.230212573496157,34.79616841167298,circle
17.91044776119403,17.639077340569877,18.57874805079082,20.21709633649932,19.92653810835629,22.727272727272727,22.143016261973713,25.1696065128901,29.42748941857875,circle
16.729783916239697,16.485753052917232,17.063934061038093,17.20940750791497,17.607897153351697,21.25734961555857,20.09356204054355,23.67706919945726,29.004232568500782,circle
15.482290042325687,15.241971958389868,16.59612385832034,18.362731795567615,17.95224977043159,20.239710538218,24.28157718868345,26.074174581637266,29.36065938961907,circle
16.841167297839164,17.051108095884217,16.77433726887948,21.053821800090457,21.097337006427917,23.179556761646314,25.930051236355535,28.65219357756671,32.523947427043886,circle
15.905546892403654,17.051108095884217,17.219870795277345,19.65174129353234,20.730027548209367,23.92582541836273,25.68500779683671,29.01402080506558,33.52639786143907,circle
17.108487413677878,17.978290366350066,16.707507239919803,21.393034825870647,22.31404958677686,23.812754409769337,28.31365560258409,31.411126187245593,35.55357540654934,circle
16.17286700824237,17.345092718227047,15.883270216083762,19.65174129353234,19.719926538108357,22.478516508367257,24.50434395188238,27.815468113975577,32.212073958565384,circle
17.153040766317666,18.294889190411578,17.598574292715526,20.737222976028946,21.694214876033058,25.033921302578023,23.88059701492537,29.01402080506558,34.84072176431277,circle
17.598574292715526,18.136589778380824,17.308977500556917,20.420624151967434,20.9366391184573,23.58661239258254,23.746936957006014,27.363184079601986,31.38783693472934,circle
19.959901982624192,20.104025327905926,19.558921808866117,21.777476255088196,22.497704315886132,25.35052012663953,24.214747159723768,28.539122568973312,33.94965471151704,circle
17.84361773223435,18.679330619629127,17.286700824237027,19.87788331071913,20.775941230486687,23.541383989145185,23.05635999108933,27.385798281320668,32.45711739808421,circle
18.801514813989755,19.041157847127995,18.48964134551125,23.69968340117594,24.127640036730945,25.1696065128901,29.22699933169971,31.094527363184078,32.969480953441746,circle
17.955001113833816,18.068747173224786,17.063934061038093,22.930800542740844,22.773186409550046,24.106739032112166,27.021608376030297,29.149706015377657,31.454666963689014,circle
17.420360882156384,18.068747173224786,17.82134105591446,22.139303482587064,23.27823691460055,24.151967435549526,25.707284473156605,29.579375848032562,31.699710403207842,circle
16.3956337714413,17.978290366350066,17.799064379594565,20.21709633649932,19.444444444444446,22.455902306648575,22.811316551570506,26.142017186793304,28.848295834261528,circle
16.59612385832034,17.096336499321573,16.707507239919803,19.810040705563093,19.214876033057852,21.528720036182722,23.34595678324794,26.797829036635008,28.759189128981955,circle
16.150590331922476,17.11895070104025,16.417910447761194,19.402985074626866,18.709825528007347,20.805065581184984,22.789039875250612,25.96110357304387,27.890398752506123,circle
16.77433726887948,16.711895070104024,15.727333481844507,21.031207598371775,21.166207529843895,22.094075079149704,29.09333927378035,30.619629127091812,32.234350634885274,circle
17.46491423479617,17.955676164631388,16.707507239919803,20.69199457259159,20.66115702479339,22.094075079149704,27.021608376030297,28.335594753505198,30.34083314769436,circle
16.306527066161728,16.372682044323835,15.972376921363333,21.099050203527817,20.546372819100092,22.071460877431026,29.605702829137893,31.77295341474446,34.640231677433725,circle
17.175317442637557,17.20940750791497,17.331254176876808,19.832654907281775,19.62809917355372,20.91813658977838,23.390510135887727,25.734961555857076,27.600801960347514,circle
16.841167297839164,16.734509271822702,16.128313655602582,19.131614654002714,18.52617079889807,20.126639529624605,24.838494096680776,28.199909543193126,31.165070171530406,circle
16.306527066161728,16.598824061510626,15.705056805524617,18.407960199004975,18.480257116620752,20.443238353686116,24.548897304522164,28.493894165535956,31.833370461127195,circle
